Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,8.006723,8.006723,7.947778,7.987074,6.489910,20857677
2017-07-04,7.996899,8.085316,7.996899,8.016547,6.513858,38171045
2017-07-05,8.036195,8.036195,7.947778,8.026371,6.521841,22146331
2017-07-06,8.016547,8.026371,7.957602,7.977250,6.481928,11598908
2017-07-07,7.957602,7.957602,7.918305,7.928129,6.442015,20175687
2017-07-10,7.947778,7.996899,7.937953,7.957602,6.465962,20530933
2017-07-11,8.036195,8.065668,8.016547,8.036195,6.529823,27900489
2017-07-12,8.055844,8.085316,8.026371,8.026371,6.521841,26457115
2017-07-13,8.065668,8.085316,8.046020,8.055844,6.545789,30956208
2017-07-14,8.075492,8.154086,8.075492,8.134437,6.609650,41472077
2017-07-17,8.203207,8.301449,8.173734,8.252328,6.705442,47328024
2017-07-18,8.281800,8.281800,8.163910,8.163910,6.633598,30868670
2017-07-19,8.163910,8.222855,8.154086,8.173734,6.641581,26479508
2017-07-20,8.232679,8.232679,8.173734,8.203207,6.665529,22718388
2017-07-21,8.232679,8.232679,8.114789,8.114789,6.593685,22513791
2017-07-24,8.114789,8.193383,8.065668,8.134437,6.609650,22600312
2017-07-25,8.134437,8.154086,8.085316,8.114789,6.593685,19368497
2017-07-26,8.114789,8.193383,8.075492,8.085316,6.569736,41090367
2017-07-27,7.908481,7.977250,7.908481,7.967426,6.637120,21935627
2017-07-28,7.957602,7.957602,7.898657,7.908481,6.588017,14640377
2017-07-31,7.908481,7.928129,7.859360,7.928129,6.604384,18993912
2017-08-01,7.908481,7.918305,7.879008,7.888832,6.571649,17723579
2017-08-02,7.928129,7.937953,7.879008,7.908481,6.588017,11810630
2017-08-03,7.888832,7.898657,7.859360,7.879008,6.563465,16679220
2017-08-04,7.869184,7.947778,7.869184,7.928129,6.604384,12824453
2017-08-07,7.967426,7.977250,7.928129,7.928129,6.604384,13809775
2017-08-08,8.714065,8.714065,8.399691,8.566702,7.136336,168886009
2017-08-09,8.527405,8.527405,8.370218,8.409515,7.005394,65952441
2017-08-10,8.389867,8.389867,8.213031,8.252328,6.874452,70023001
2017-08-11,8.183558,8.350570,8.183558,8.350570,6.956291,35474642
2017-08-14,8.350570,8.350570,8.154086,8.154086,6.792614,33741168
2017-08-15,8.252328,8.252328,8.163910,8.193383,6.825349,19364425
2017-08-16,8.193383,8.242504,8.134437,8.173734,6.808981,25186782
2017-08-17,8.203207,8.271976,8.183558,8.262152,6.882636,33016427
2017-08-18,8.222855,8.389867,8.222855,8.350570,6.956291,58952380
2017-08-21,8.340746,8.340746,8.271976,8.291625,6.907188,24302119
2017-08-22,8.301449,8.311273,8.232679,8.252328,6.874452,31266063
2017-08-23,8.281800,8.370218,8.252328,8.321097,6.931739,30207292
2017-08-24,8.340746,8.370218,8.311273,8.321097,6.931739,24200661
2017-08-25,8.321097,8.389867,8.281800,8.380042,6.980842,25506812
2017-08-28,8.389867,8.576526,8.380042,8.507757,7.087233,50637394
2017-08-29,8.517581,8.527405,8.399691,8.448812,7.038129,44944315
2017-08-30,8.488109,8.586351,8.478284,8.547054,7.119968,61505392
2017-08-31,8.596175,8.615823,8.556878,8.615823,7.177255,53791725
2017-09-01,8.664944,9.431232,8.635472,9.205275,7.668288,369602828
2017-09-04,9.332990,9.450880,9.156154,9.165978,7.635552,137178801
2017-09-05,9.205275,9.313341,9.136506,9.205275,7.668288,71461752
2017-09-06,9.156154,9.195451,9.077561,9.136506,7.611000,69448157
2017-09-07,9.283869,9.283869,9.126682,9.195451,7.660104,69928877
2017-09-08,9.195451,9.274045,9.156154,9.185627,7.651920,51521715
2017-09-11,9.274045,9.509825,9.264220,9.342814,7.782862,121164133
2017-09-12,9.431232,9.470529,9.332990,9.352638,7.791047,73924585
2017-09-13,9.342814,9.352638,9.274045,9.293693,7.741942,44298610
2017-09-14,9.283869,9.293693,9.205275,9.215099,7.676471,39293737
2017-09-15,9.234748,9.303517,9.215099,9.234748,7.692839,40483766
