ら戳,ユ家Α,Μカ基,害禴,秨カ基,程蔼基,程基,Θユ掸计,虫,Θユ肂(じ),キА基
1110701,某基,,,,,,,,,
1110701,单基,107.8,-0.85,108.8,108.8,107,14,22,2362400,107.38
1110704,某基,,,,,,,,,
1110704,单基,,,,,,,,,
1110705,某基,,,,,,,,,
1110705,单基,107.3,0.25,107.7,107.7,107,16,50,5369550,107.39
1110706,某基,,,,,,,,,
1110706,单基,107.75,0.45,107.75,107.75,107.75,1,1,107750,107.75
1110707,某基,,,,,,,,,
1110707,单基,107.7,-0.05,107,107.75,107,5,7,750450,107.2
1110708,某基,,,,,,,,,
1110708,单基,,,,,,,,,
1110711,某基,,,,,,,,,
1110711,单基,107.6,0,107.6,107.6,107.6,2,3,322800,107.6
1110712,某基,,,,,,,,,
1110712,单基,105.9,-1.7,106.5,106.5,105,13,55,5800200,105.45
1110713,某基,,,,,,,,,
1110713,单基,105.9,0,106,106,105.6,13,44,4656600,105.83
1110714,某基,105.9,0,,105.9,105.9,1,11,1164900,
1110714,单基,105.9,0,105.9,105.9,105.9,11,26,2753400,105.9
1110715,某基,,,,,,,,,
1110715,单基,105.7,-0.2,106,106,105,12,65,6838050,105.2
1110718,某基,,,,,,,,,
1110718,单基,105.7,0,105.7,105.7,105.7,2,5,528500,105.7
1110719,某基,,,,,,,,,
1110719,单基,105.85,0.15,105.85,105.85,105.85,1,3,317550,105.85
1110720,某基,,,,,,,,,
1110720,单基,106,0.15,106,106,106,7,22,2332000,106
1110721,某基,,,,,,,,,
1110721,单基,105.85,-0.15,105.1,105.85,105.1,5,28,2944250,105.15
1110722,某基,,,,,,,,,
1110722,单基,105.5,-0.35,106.2,106.2,105.5,8,108,11424600,105.78
1110725,某基,,,,,,,,,
1110725,单基,105.75,0.25,105.75,105.75,105.75,1,5,528750,105.75
1110726,某基,,,,,,,,,
1110726,单基,105.8,0.05,105.8,105.8,105.8,1,5,529000,105.8
1110727,某基,,,,,,,,,
1110727,单基,105.85,0.05,105.65,105.85,105.6,27,291,30735450,105.62
1110728,某基,,,,,,,,,
1110728,单基,105.9,0.05,105.9,105.9,105.9,2,6,635400,105.9
1110729,某基,,,,,,,,,
1110729,单基,105.5,-0.4,105.85,105.85,105.5,4,7,740600,105.8
